action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,46453,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,C[n+]1ccc(CCN2C(=O)CCC2=O)cc1.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL539116,,CHEMBL1189639,,0,http://www.openphacts.org/units/Nanomolar,17694,=,1,1,=,,IC50,nM,,830000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.83
,,46454,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,C[n+]1ccc(CCN2C(=O)CCC2=O)cc1.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL539116,,CHEMBL1189639,,0,http://www.openphacts.org/units/Nanomolar,17694,=,1,1,=,,IC50,nM,,890000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.89
,,48948,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,CS(=O)(=O)[O-].C[n+]1ccccc1CCl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL276538,,CHEMBL1183030,,0,http://www.openphacts.org/units/Nanomolar,17699,=,1,1,=,,IC50,nM,,460000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.46
,,48949,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,CS(=O)(=O)[O-].C[n+]1ccccc1CCl,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL276538,,CHEMBL1183030,,0,http://www.openphacts.org/units/Nanomolar,17699,=,1,1,=,,IC50,nM,,340000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.34
,,48952,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,CC[N+](C)(CC)CCc1ccccn1.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL15822,,CHEMBL1178212,,0,http://www.openphacts.org/units/Nanomolar,17698,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,1.0
,,48953,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC[N+](C)(CC)CCc1ccccn1.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL15822,,CHEMBL1178212,,0,http://www.openphacts.org/units/Nanomolar,17698,>,1,1,>,,IC50,nM,,1000000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,1.0
,,57878,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,CCN(CC)CCc1cccc[n+]1C.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL538102,,CHEMBL1189148,,0,http://www.openphacts.org/units/Nanomolar,17697,=,1,1,=,,IC50,nM,,550000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.55
,,57879,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,CCN(CC)CCc1cccc[n+]1C.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL538102,,CHEMBL1189148,,0,http://www.openphacts.org/units/Nanomolar,17697,=,1,1,=,,IC50,nM,,500000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.5
,,57882,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,CC1C=CN(C)c2c1c1c(n2C)CCC1OCCCl.O=C(O)/C=C/C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL1159683,,CHEMBL1199302,,0,http://www.openphacts.org/units/Nanomolar,17692,=,1,1,=,,IC50,nM,,250000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.25
,,57883,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC1C=CN(C)c2c1c1c(n2C)CCC1OCCCl.O=C(O)/C=C/C(=O)O,Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL1159683,,CHEMBL1199302,,0,http://www.openphacts.org/units/Nanomolar,17692,=,1,1,=,,IC50,nM,,380000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.38
,,63093,[],CHEMBL642843,Effect on Acetylcholinesterase activity in rat erythrocytes,B,,,BAO_0000190,BAO_0000219,cell-based format,C[n+]1ccccc1CCN1C(=O)CCC1=O.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL539117,,CHEMBL1189640,,0,http://www.openphacts.org/units/Nanomolar,17695,=,1,1,=,,IC50,nM,,870000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.87
,,63094,[],CHEMBL642842,Effect on Acetylcholinesterase activity in rat brain homogenates,B,,,BAO_0000190,BAO_0000221,tissue-based format,C[n+]1ccccc1CCN1C(=O)CCC1=O.[I-],Outside typical range,"Values for this activity type are unusually large/small, so may not be accurate",CHEMBL1123058,J Med Chem,1985,,CHEMBL539117,,CHEMBL1189640,,0,http://www.openphacts.org/units/Nanomolar,17695,=,1,1,=,,IC50,nM,,470000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,I50,mM,UO_0000065,,0.47
,,72833,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccc(CNc2c3c(nc4ccccc24)CCCC3O)cc1,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '14.69', 'le': '0.27', 'lle': '0.15', 'sei': '10.36'}",CHEMBL53239,,CHEMBL53239,4.68,0,http://www.openphacts.org/units/Nanomolar,87782,=,1,1,=,,IC50,nM,,21000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,21.0
,,73892,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,Cc1ccccc1CNc1c2c(nc3ccccc13)CCCC2O,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '16.42', 'le': '0.30', 'lle': '0.70', 'sei': '11.58'}",CHEMBL50735,,CHEMBL50735,5.23,0,http://www.openphacts.org/units/Nanomolar,87784,=,1,1,=,,IC50,nM,,5890.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,5.89
,,74951,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,Nc1c2c(nc3ccccc13)CCC2O,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '26.09', 'le': '0.48', 'lle': '3.42', 'sei': '8.83'}",CHEMBL50736,,CHEMBL50736,5.22,0,http://www.openphacts.org/units/Nanomolar,87757,=,1,1,=,,IC50,nM,,5970.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,5.97
,,76128,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3ccccc3c(NCc3cccc(C(F)(F)F)c3)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '13.02', 'le': '0.25', 'lle': '-0.39', 'sei': '10.74'}",CHEMBL53598,,CHEMBL53598,4.85,0,http://www.openphacts.org/units/Nanomolar,87780,=,1,1,=,,IC50,nM,,14200.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,14.2
,,77195,[],CHEMBL823654,In vitro inhibition against acetylcholinesterase in rat striatal,F,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3ccccc3c(NCc3ccccc3)c21,,,CHEMBL1124555,J Med Chem,1989,,CHEMBL301958,SURONACRINE,CHEMBL301958,4.49,0,http://www.openphacts.org/units/Nanomolar,87775,=,1,1,=,,IC50,nM,,32200.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,32.2
,,79433,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccc2c(N)c3c(nc2c1)CCCC3O,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '23.33', 'le': '0.43', 'lle': '3.50', 'sei': '8.34'}",CHEMBL50462,,CHEMBL50462,5.70,0,http://www.openphacts.org/units/Nanomolar,87754,=,1,1,=,,IC50,nM,,2000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,2.0
,,79435,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3ccccc3c(NCCCC(c3ccccc3)c3ccccc3)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '10.19', 'le': '0.18', 'lle': '-2.32', 'sei': '9.54'}",CHEMBL53666,,CHEMBL53666,4.31,0,http://www.openphacts.org/units/Nanomolar,87778,=,1,1,=,,IC50,nM,,49300.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,49.3
,,83832,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,Nc1c2c(nc3ccccc13)CCCC2O,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '25.19', 'le': '0.46', 'lle': '3.21', 'sei': '9.13'}",CHEMBL51934,VELNACRINE,CHEMBL51934,5.40,0,http://www.openphacts.org/units/Nanomolar,87751,=,1,1,=,,IC50,nM,,4000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,4.0
,,83843,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,Nc1c2c(nc3cc(F)ccc13)CCCC2O,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '28.13', 'le': '0.52', 'lle': '4.20', 'sei': '11.05'}",CHEMBL50309,,CHEMBL50309,6.54,0,http://www.openphacts.org/units/Nanomolar,87755,=,1,1,=,,IC50,nM,,292.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,0.292
,,83852,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,CN(C)CCNc1c2c(nc3ccccc13)CCCC2O,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '17.92', 'le': '0.33', 'lle': '2.53', 'sei': '10.57'}",CHEMBL298896,,CHEMBL298896,5.12,0,http://www.openphacts.org/units/Nanomolar,87789,=,1,1,=,,IC50,nM,,7680.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,7.68
,,83855,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3ccccc3c(NCc3ccccc3Cl)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '14.72', 'le': '0.28', 'lle': '0.12', 'sei': '11.05'}",CHEMBL300315,,CHEMBL300315,4.99,0,http://www.openphacts.org/units/Nanomolar,87774,=,1,1,=,,IC50,nM,,10300.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,10.3
,,83866,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3ccccc3c(NCc3ccc(C(F)(F)F)cc3)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '12.73', 'le': '0.24', 'lle': '-0.50', 'sei': '10.50'}",CHEMBL299147,,CHEMBL299147,4.74,0,http://www.openphacts.org/units/Nanomolar,87768,=,1,1,=,,IC50,nM,,18100.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,18.1
,,85900,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3ccccc3c(NCCCOc3ccccc3)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '15.50', 'le': '0.28', 'lle': '0.91', 'sei': '9.93'}",CHEMBL53978,,CHEMBL53978,5.40,0,http://www.openphacts.org/units/Nanomolar,87779,=,1,1,=,,IC50,nM,,3980.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,3.98
,,86868,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3ccccc3c(NCc3ccccc3F)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '13.60', 'le': '0.25', 'lle': '0.02', 'sei': '9.71'}",CHEMBL52967,,CHEMBL52967,4.38,0,http://www.openphacts.org/units/Nanomolar,87765,=,1,1,=,,IC50,nM,,41300.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,41.3
,,88814,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3ccccc3c(NCCCC(c3ccc(F)cc3)c3ccc(F)cc3)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '8.85', 'le': '0.16', 'lle': '-2.85', 'sei': '8.98'}",CHEMBL50322,,CHEMBL50322,4.06,0,http://www.openphacts.org/units/Nanomolar,87777,=,1,1,=,,IC50,nM,,87800.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,87.8
,,89801,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,Nc1c2c(nc3ccc(Cl)cc13)CCCC2O,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '18.52', 'le': '0.37', 'lle': '1.77', 'sei': '7.79'}",CHEMBL51168,,CHEMBL51168,4.61,0,http://www.openphacts.org/units/Nanomolar,87752,=,1,1,=,,IC50,nM,,24700.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,24.7
,,89805,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,Cc1cccc(CNc2c3c(nc4ccccc24)CCCC3O)c1,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '14.48', 'le': '0.26', 'lle': '0.08', 'sei': '10.21'}",CHEMBL53240,,CHEMBL53240,4.61,0,http://www.openphacts.org/units/Nanomolar,87783,=,1,1,=,,IC50,nM,,24500.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,24.5
,,89816,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3cc(F)ccc3c(NCc3ccccc3C(F)(F)F)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '12.03', 'le': '0.23', 'lle': '-0.67', 'sei': '10.40'}",CHEMBL53973,,CHEMBL53973,4.70,0,http://www.openphacts.org/units/Nanomolar,87766,=,1,1,=,,IC50,nM,,20100.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,20.1
,,91799,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3cc(Cl)ccc3c(NCc3ccc(F)cc3)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '17.05', 'le': '0.33', 'lle': '1.07', 'sei': '13.48'}",CHEMBL298154,,CHEMBL298154,6.08,0,http://www.openphacts.org/units/Nanomolar,87761,=,1,1,=,,IC50,nM,,823.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,0.823
,,92856,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,Nc1c2c(nc3cc(C(F)(F)F)ccc13)CCCC2O,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '20.38', 'le': '0.39', 'lle': '2.54', 'sei': '9.73'}",CHEMBL54086,,CHEMBL54086,5.75,0,http://www.openphacts.org/units/Nanomolar,87790,=,1,1,=,,IC50,nM,,1770.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,1.77
,,93874,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3cc(F)ccc3c(NCc3ccccc3)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '15.71', 'le': '0.29', 'lle': '0.70', 'sei': '11.22'}",CHEMBL299771,,CHEMBL299771,5.06,0,http://www.openphacts.org/units/Nanomolar,87767,=,1,1,=,,IC50,nM,,8630.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,8.63
,,94823,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,O=C(O)/C=C/C(=O)O.OC1CCCc2nc3ccccc3c(NCCCC(c3cccc(F)c3)c3cccc(F)c3)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '9.16', 'le': '0.17', 'lle': '-2.71', 'sei': '9.30'}",CHEMBL1794989,,CHEMBL54296,4.20,0,http://www.openphacts.org/units/Nanomolar,87776,=,1,1,=,,IC50,nM,,63000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,63.0
,,94826,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,COc1ccccc1CNc1c2c(nc3ccccc13)CCCC2O,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '13.29', 'le': '0.24', 'lle': '0.21', 'sei': '8.17'}",CHEMBL53830,,CHEMBL53830,4.44,0,http://www.openphacts.org/units/Nanomolar,87787,=,1,1,=,,IC50,nM,,36000.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,36.0
,,94837,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3ccccc3c(NCc3ccccc3C(F)(F)F)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '13.09', 'le': '0.25', 'lle': '-0.36', 'sei': '10.80'}",CHEMBL53182,,CHEMBL53182,4.88,0,http://www.openphacts.org/units/Nanomolar,87781,=,1,1,=,,IC50,nM,,13300.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,13.3
,,94849,[],CHEMBL636829,In vitro inhibition against acetylcholinesterase in rat striata.,B,,,BAO_0000190,BAO_0000019,assay format,OC1CCCc2nc3cc(C(F)(F)F)ccc3c(NCc3ccccc3)c21,,,CHEMBL1124555,J Med Chem,1989,"{'bei': '11.19', 'le': '0.21', 'lle': '-1.07', 'sei': '9.23'}",CHEMBL50410,,CHEMBL50410,4.17,0,http://www.openphacts.org/units/Nanomolar,87760,=,1,1,=,,IC50,nM,,68200.0,CHEMBL3199,Rattus norvegicus,Acetylcholinesterase,10116,,,IC50,uM,UO_0000065,,68.2
